review_id,source,text,rating,timestamp,branch,clean_text,topic
1,google,Delivery was 40 minutes late and the food was cold.,2,2025-11-20 19:42,Indrapuri,delivery was 40 minutes late and the food was cold.,-1
2,google,Amazing pizza! Super fresh and tasty. Loved it.,5,2025-11-21 13:15,MP Nagar,amazing pizza! super fresh and tasty. loved it.,-1
3,google,The app kept crashing while placing the order. Very frustrating.,1,2025-11-19 20:10,Kolar Road,the app kept crashing while placing the order. very frustrating.,-1
4,google,Food quality is excellent but packaging could be better.,4,2025-11-18 18:30,Arera Colony,food quality is excellent but packaging could be better.,-1
5,google,Delivery boy was polite but order arrived late.,3,2025-11-17 21:45,Kolar Road,delivery boy was polite but order arrived late.,-1
6,google,Worst experience ever. Wrong order delivered!,1,2025-11-16 14:00,MP Nagar,worst experience ever. wrong order delivered!,-1
7,google,Loved the service. Quick delivery and nice behaviour.,5,2025-11-22 12:10,Indrapuri,loved the service. quick delivery and nice behaviour.,-1
8,google,Average taste. Expected better for this price.,3,2025-11-21 16:25,Arera Colony,average taste. expected better for this price.,-1
9,google,The restaurant didnt respond to my queries. Poor support.,2,2025-11-20 17:50,Kolar Road,the restaurant didnt respond to my queries. poor support.,-1
10,google,Super fast delivery! Got my food in 15 minutes.,5,2025-11-19 11:40,MP Nagar,super fast delivery! got my food in 15 minutes.,-1
